time,hastus tr 14,loop car 102,loop car 108,loop car 153,loop tr 14
1900-01-01 04:50:09.000,,,,,2080000
1900-01-01 04:54:25.000,,,,2080000,2080000
1900-01-01 04:54:31.000,,2080000,,2080000,2080000
1900-01-01 04:54:37.000,,2080000,,2080000,2080000
1900-01-01 04:58:00.000,1858000,,,,
1900-01-01 05:00:00.000,1738000,,,,
1900-01-01 05:00:38.000,,,,,1697000
1900-01-01 05:00:40.000,,,,1697000,1697000
1900-01-01 05:00:42.000,,1697000,,1697000,1697000
1900-01-01 05:00:44.000,,1697000,,1697000,1697000
1900-01-01 05:01:07.000,,,,,1549000
1900-01-01 05:01:09.000,,,,1549000,1549000
1900-01-01 05:01:11.000,,1549000,,1549000,1549000
1900-01-01 05:01:12.000,,1549000,,1549000,1549000
1900-01-01 05:01:20.000,,,,,1549000
1900-01-01 05:01:22.000,,,,1549000,1549000
1900-01-01 05:01:24.000,,1549000,,1549000,1549000
1900-01-01 05:01:27.000,,1549000,,1549000,1549000
1900-01-01 05:01:41.000,,,,,1549000
1900-01-01 05:01:43.000,,,,1549000,1549000
1900-01-01 05:01:45.000,,1549000,,1549000,1549000
1900-01-01 05:01:47.000,,1549000,,1549000,1549000
1900-01-01 05:01:49.000,,,,,1425000
1900-01-01 05:01:50.000,,,,1425000,1425000
1900-01-01 05:01:52.000,,1425000,,1425000,1425000
1900-01-01 05:01:54.000,,1425000,,1425000,1425000
1900-01-01 05:02:05.000,,,,,1425000
1900-01-01 05:02:07.000,,,,1425000,1425000
1900-01-01 05:02:10.000,,1425000,,1425000,1425000
1900-01-01 05:02:12.000,,1425000,,1425000,1425000
1900-01-01 05:02:14.000,,,,,1425000
1900-01-01 05:02:17.000,,,,1425000,1425000
1900-01-01 05:02:22.000,,1425000,,1425000,1425000
1900-01-01 05:02:30.000,,,,,1425000
1900-01-01 05:02:31.000,,1425000,,1425000,1425000
1900-01-01 05:03:00.000,1539000,,,,
1900-01-01 05:03:13.000,,,,1425000,1425000
1900-01-01 05:03:16.000,,,,1425000,1425000
1900-01-01 05:03:17.000,,1425000,,1425000,1425000
1900-01-01 05:03:18.000,,,,,1425000
1900-01-01 05:03:19.000,,1425000,,1425000,1425000
1900-01-01 05:03:20.000,,,,1425000,1425000
1900-01-01 05:03:21.000,,1425000,,1425000,1425000
1900-01-01 05:03:23.000,,1425000,,1425000,1425000
1900-01-01 05:03:25.000,,1425000,,1425000,1425000
1900-01-01 05:03:32.000,,,,,1407000
1900-01-01 05:03:35.000,,,,1407000,1407000
1900-01-01 05:03:37.000,,1407000,,1407000,1407000
1900-01-01 05:03:39.000,,1407000,,1407000,1407000
1900-01-01 05:03:48.000,,,,,1407000
1900-01-01 05:03:49.000,,,,1407000,1407000
1900-01-01 05:03:51.000,,1407000,,1407000,1407000
1900-01-01 05:03:53.000,,1407000,,1407000,1407000
1900-01-01 05:04:01.000,,,,,1394000
1900-01-01 05:04:03.000,,,,1394000,1394000
1900-01-01 05:04:05.000,,1394000,,1394000,1394000
1900-01-01 05:04:07.000,,1394000,,1394000,1394000
1900-01-01 05:04:20.000,,,,,1394000
1900-01-01 05:04:23.000,,1394000,,1394000,1394000
1900-01-01 05:04:25.000,,1394000,,1394000,1394000
1900-01-01 05:04:44.000,,,,,1284000
1900-01-01 05:04:46.000,,,,1284000,1284000
1900-01-01 05:04:48.000,,1284000,,1284000,1284000
1900-01-01 05:04:50.000,,1284000,,1284000,1284000
1900-01-01 05:05:00.000,,,,,1284000
1900-01-01 05:05:02.000,,,,1284000,1284000
1900-01-01 05:05:04.000,,1284000,,1284000,1284000
1900-01-01 05:05:06.000,,1284000,,1284000,1284000
1900-01-01 05:05:13.000,,,,,1284000
1900-01-01 05:05:15.000,,,,1284000,1284000
1900-01-01 05:05:17.000,,1284000,,1284000,1284000
1900-01-01 05:05:19.000,,1284000,,1284000,1284000
1900-01-01 05:05:29.000,,,,,1264000
1900-01-01 05:05:31.000,,,,1264000,1264000
1900-01-01 05:05:33.000,,1264000,,1264000,1264000
1900-01-01 05:05:35.000,,1264000,,1264000,1264000
1900-01-01 05:05:43.000,,,,,1244000
1900-01-01 05:05:45.000,,,,1244000,1244000
1900-01-01 05:05:48.000,,1244000,,1244000,1244000
1900-01-01 05:05:51.000,,1244000,,1244000,1244000
1900-01-01 05:05:59.000,,,,,1215000
1900-01-01 05:06:02.000,,,,1215000,1215000
1900-01-01 05:06:04.000,,1215000,,1215000,1215000
1900-01-01 05:06:06.000,,,,,1215000
1900-01-01 05:06:07.000,,1215000,,1215000,1215000
1900-01-01 05:06:09.000,,,,1215000,1215000
1900-01-01 05:06:13.000,,1215000,,1215000,1215000
1900-01-01 05:06:21.000,,1215000,,1215000,1215000
1900-01-01 05:07:00.000,1284000,,,,
1900-01-01 05:07:05.000,,,,1215000,1215000
1900-01-01 05:07:08.000,,1215000,,1215000,1215000
1900-01-01 05:07:10.000,,,,1215000,1215000
1900-01-01 05:07:11.000,,1215000,,1215000,1215000
1900-01-01 05:07:13.000,,1215000,,1215000,1215000
1900-01-01 05:07:15.000,,1215000,,1215000,1215000
1900-01-01 05:07:21.000,,,,,1215000
1900-01-01 05:07:23.000,,,,1215000,1215000
1900-01-01 05:07:25.000,,1215000,,1215000,1215000
1900-01-01 05:07:27.000,,1215000,,1215000,1215000
1900-01-01 05:07:37.000,,,,,1120000
1900-01-01 05:07:40.000,,,,1120000,1120000
1900-01-01 05:07:42.000,,1120000,,1120000,1120000
1900-01-01 05:07:44.000,,1120000,,1120000,1120000
1900-01-01 05:07:51.000,,,,,1120000
1900-01-01 05:07:53.000,,,,1120000,1120000
1900-01-01 05:07:55.000,,1120000,,1120000,1120000
1900-01-01 05:07:58.000,,1120000,,1120000,1120000
1900-01-01 05:08:03.000,,,,,1120000
1900-01-01 05:08:05.000,,,,1120000,1120000
1900-01-01 05:08:06.000,,1120000,,1120000,1120000
1900-01-01 05:08:08.000,,1120000,,1120000,1120000
1900-01-01 05:08:19.000,,,,,1099000
1900-01-01 05:08:20.000,,,,1099000,1099000
1900-01-01 05:08:23.000,,1099000,,1099000,1099000
1900-01-01 05:08:25.000,,1099000,,1099000,1099000
1900-01-01 05:08:32.000,,,,,1099000
1900-01-01 05:08:34.000,,,,1099000,1099000
1900-01-01 05:08:36.000,,1099000,,1099000,1099000
1900-01-01 05:08:38.000,,1099000,,1099000,1099000
1900-01-01 05:08:47.000,,,,,1080000
1900-01-01 05:08:49.000,,,,1080000,1080000
1900-01-01 05:08:51.000,,1080000,,1080000,1080000
1900-01-01 05:08:53.000,,1080000,,1080000,1080000
1900-01-01 05:08:55.000,,,,,1080000
1900-01-01 05:08:58.000,,,,1080000,1080000
1900-01-01 05:09:01.000,,1080000,,1080000,1080000
1900-01-01 05:09:02.000,,,,,1080000
1900-01-01 05:09:04.000,,1080000,,1080000,1080000
1900-01-01 05:09:05.000,,,,1080000,1080000
1900-01-01 05:09:09.000,,1080000,,1080000,1080000
1900-01-01 05:09:17.000,,,,,1080000
1900-01-01 05:09:18.000,,1080000,,1080000,1080000
1900-01-01 05:09:51.000,,,,1080000,1080000
1900-01-01 05:09:55.000,,,,1080000,1080000
1900-01-01 05:09:56.000,,1080000,,1080000,1080000
1900-01-01 05:09:58.000,,1080000,,1080000,1080000
1900-01-01 05:09:59.000,,1080000,,1080000,1080000
1900-01-01 05:10:00.000,1119000,,,,
1900-01-01 05:10:28.000,,,,,1052000
1900-01-01 05:10:30.000,,,,1052000,1052000
1900-01-01 05:10:32.000,,1052000,,1052000,1052000
1900-01-01 05:10:34.000,,1052000,,1052000,1052000
1900-01-01 05:10:56.000,,,,,599000
1900-01-01 05:10:59.000,,,,599000,599000
1900-01-01 05:11:00.000,,599000,,599000,599000
1900-01-01 05:11:02.000,,599000,,599000,599000
1900-01-01 05:17:21.000,,,,,292000
1900-01-01 05:17:24.000,,,,292000,292000
1900-01-01 05:17:26.000,,292000,,292000,292000
1900-01-01 05:17:28.000,,,,,4000
1900-01-01 05:17:31.000,,292000,,292000,292000
1900-01-01 05:17:32.000,,,,4000,4000
1900-01-01 05:17:35.000,,,,4000,4000
1900-01-01 05:17:36.000,,4000,,4000,4000
1900-01-01 05:17:43.000,,4000,,4000,4000
1900-01-01 05:17:48.000,,4000,,4000,4000
1900-01-01 05:18:18.000,,4000,,4000,4000
1900-01-01 05:19:00.000,581000,,,,
1900-01-01 05:20:29.000,,,,,1000
1900-01-01 05:20:33.000,,,,1000,1000
1900-01-01 05:20:36.000,,1000,,1000,1000
1900-01-01 05:20:40.000,,1000,,1000,1000
1900-01-01 05:21:04.000,,,,,4000
1900-01-01 05:21:09.000,,,,4000,4000
1900-01-01 05:21:10.000,,,,,4000
1900-01-01 05:21:15.000,,,,4000,4000
1900-01-01 05:21:17.000,,4000,,4000,4000
1900-01-01 05:21:25.000,,4000,,4000,4000
1900-01-01 05:21:28.000,,4000,,4000,4000
1900-01-01 05:22:00.000,0,,,,
1900-01-01 05:24:11.000,,,,,4000
1900-01-01 05:28:00.000,0,,,,
1900-01-01 05:28:06.000,,,4000,,4000
1900-01-01 05:28:10.000,,4000,4000,,4000
1900-01-01 05:28:12.000,,4000,4000,,4000
1900-01-01 05:30:47.000,,,,,599000
1900-01-01 05:31:00.000,581000,,,,
1900-01-01 05:31:22.000,,,599000,,599000
1900-01-01 05:31:23.000,,,,,599000
1900-01-01 05:31:25.000,,,599000,,599000
1900-01-01 05:31:26.000,,599000,599000,,599000
1900-01-01 05:31:27.000,,599000,599000,,599000
1900-01-01 05:31:28.000,,599000,599000,,599000
1900-01-01 05:31:31.000,,599000,599000,,599000
1900-01-01 05:37:59.000,,,,,1052000
1900-01-01 05:38:00.000,,,1052000,,1052000
1900-01-01 05:38:02.000,,1052000,1052000,,1052000
1900-01-01 05:38:04.000,,1052000,1052000,,1052000
1900-01-01 05:38:26.000,,,,,1080000
1900-01-01 05:38:27.000,,,1080000,,1080000
1900-01-01 05:38:29.000,,1080000,1080000,,1080000
1900-01-01 05:38:31.000,,1080000,1080000,,1080000
1900-01-01 05:39:04.000,,,,,1120000
1900-01-01 05:39:07.000,,,1120000,,1120000
1900-01-01 05:39:11.000,,1120000,1120000,,1120000
1900-01-01 05:39:19.000,,,,,1120000
1900-01-01 05:39:21.000,,1120000,1120000,,1120000
1900-01-01 05:40:00.000,1119000,,,,
1900-01-01 05:40:04.000,,,1120000,,1120000
1900-01-01 05:40:05.000,,,,,1120000
1900-01-01 05:40:07.000,,,,,1120000
1900-01-01 05:40:08.000,,1120000,1120000,,1120000
1900-01-01 05:40:09.000,,,1120000,,1120000
1900-01-01 05:40:10.000,,1120000,1120000,,1120000
1900-01-01 05:40:11.000,,1120000,1120000,,1120000
1900-01-01 05:40:13.000,,1120000,1120000,,1120000
1900-01-01 05:40:14.000,,1120000,1120000,,1120000
1900-01-01 05:40:17.000,,,,,1120000
1900-01-01 05:40:19.000,,,1120000,,1120000
1900-01-01 05:40:21.000,,1120000,1120000,,1120000
1900-01-01 05:40:22.000,,1120000,1120000,,1120000
1900-01-01 05:40:30.000,,,,,1215000
1900-01-01 05:40:32.000,,,1215000,,1215000
1900-01-01 05:40:34.000,,1215000,1215000,,1215000
1900-01-01 05:40:36.000,,1215000,1215000,,1215000
1900-01-01 05:40:44.000,,,,,1215000
1900-01-01 05:40:45.000,,,1215000,,1215000
1900-01-01 05:40:47.000,,1215000,1215000,,1215000
1900-01-01 05:40:49.000,,1215000,1215000,,1215000
1900-01-01 05:41:00.000,,,,,1244000
1900-01-01 05:41:01.000,,,1244000,,1244000
1900-01-01 05:41:03.000,,1244000,1244000,,1244000
1900-01-01 05:41:05.000,,1244000,1244000,,1244000
1900-01-01 05:41:11.000,,,,,1244000
1900-01-01 05:41:13.000,,,1244000,,1244000
1900-01-01 05:41:15.000,,1244000,1244000,,1244000
1900-01-01 05:41:16.000,,1244000,1244000,,1244000
1900-01-01 05:41:24.000,,,,,1244000
1900-01-01 05:41:25.000,,,1244000,,1244000
1900-01-01 05:41:27.000,,1244000,1244000,,1244000
1900-01-01 05:41:30.000,,1244000,1244000,,1244000
1900-01-01 05:41:39.000,,,,,1284000
1900-01-01 05:41:41.000,,,1284000,,1284000
1900-01-01 05:41:43.000,,1284000,1284000,,1284000
1900-01-01 05:41:45.000,,1284000,1284000,,1284000
1900-01-01 05:41:53.000,,,,,1284000
1900-01-01 05:41:55.000,,,1284000,,1284000
